aims_uuid : 4CA28C00-B252-409C-A144-D565F4009B24                                                                                                      
# Complex Kohn-Sham eigenvectors for band number        1, k-point number        1, at relative reciprocal-space coordinates:   0.00000000   0.00000000   0.00000000
#
#      Basis function ID                       State number
#    /                   \    	                         1                             2                             3                             4                             5                             6                             7                             8                             9                             10                            11                            12                            13                            14                            15                            16    
#   /                     \   	                  -1.83342466                   -1.82938952                   -1.75399193                   -1.69191741                   -1.66150226                   -1.63822536                   -1.62332715                   -1.61756012                   -1.60198609                   -0.78156542                   -0.25685949                    0.25746702                    0.28478707                    0.29309129                    1.19750350                    1.23713512  
#  /                       \  	                   1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    1.00000000                    0.99984104                    0.00011965                    0.00002456                    0.00001475                    0.00000000                    0.00000000  
# No.  atom   type    n l   m 	    Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]     Re[c_il(k)]   Im[c_il(k)]  
  833    60 hydro     4 f  -3 	    -0.00381095    0.00000000      0.00191214    0.00000000     -0.00020468    0.00000000     -0.00018939    0.00000000      0.00036279    0.00000000     -0.00063477    0.00000000     -0.00015506    0.00000000     -0.00045090    0.00000000      0.00021295    0.00000000      0.00077093    0.00000000     -0.00094433    0.00000000     -0.00175447    0.00000000     -0.00071748    0.00000000     -0.00161253    0.00000000      0.00004199    0.00000000      0.00030961    0.00000000  
  834    60 hydro     4 f  -2 	     0.00006008    0.00000000      0.00001272    0.00000000      0.00000747    0.00000000     -0.00006044    0.00000000      0.00009971    0.00000000      0.00012122    0.00000000      0.00012052    0.00000000      0.00014375    0.00000000     -0.00000997    0.00000000      0.00003082    0.00000000     -0.00006410    0.00000000     -0.00006178    0.00000000      0.00003620    0.00000000      0.00001733    0.00000000     -0.00016573    0.00000000      0.00000991    0.00000000  
  835    60 hydro     4 f  -1 	    -0.00222566    0.00000000      0.00039881    0.00000000     -0.00205639    0.00000000      0.00273109    0.00000000     -0.00012529    0.00000000      0.00164755    0.00000000     -0.00168050    0.00000000     -0.00020551    0.00000000     -0.00007871    0.00000000      0.00026366    0.00000000      0.00053025    0.00000000      0.00088381    0.00000000      0.00028852    0.00000000      0.00085700    0.00000000      0.00008073    0.00000000     -0.00002747    0.00000000  
  836    60 hydro     4 f   0 	    -0.00005558    0.00000000     -0.00001288    0.00000000      0.00016247    0.00000000     -0.00003083    0.00000000      0.00014001    0.00000000      0.00008755    0.00000000     -0.00002201    0.00000000     -0.00004801    0.00000000      0.00010757    0.00000000      0.00054772    0.00000000      0.00009351    0.00000000     -0.00009682    0.00000000      0.00007293    0.00000000      0.00008159    0.00000000      0.00026708    0.00000000      0.00096146    0.00000000  
  837    60 hydro     4 f   1 	     0.00008466    0.00000000      0.00037115    0.00000000      0.00131883    0.00000000      0.00091735    0.00000000      0.00333123    0.00000000     -0.00122470    0.00000000     -0.00075142    0.00000000     -0.00049572    0.00000000     -0.00122506    0.00000000      0.00051602    0.00000000      0.00163094    0.00000000     -0.00228165    0.00000000     -0.00042709    0.00000000      0.00162175    0.00000000      0.00015304    0.00000000      0.00103403    0.00000000  
  838    60 hydro     4 f   2 	    -0.00000220    0.00000000      0.00004238    0.00000000      0.00001588    0.00000000      0.00001136    0.00000000      0.00001487    0.00000000     -0.00003696    0.00000000     -0.00000682    0.00000000     -0.00000833    0.00000000     -0.00003789    0.00000000     -0.00011070    0.00000000      0.00007348    0.00000000     -0.00002325    0.00000000      0.00004367    0.00000000      0.00001574    0.00000000      0.00007794    0.00000000     -0.00001321    0.00000000  
  839    60 hydro     4 f   3 	    -0.00033290    0.00000000     -0.00012492    0.00000000      0.00195866    0.00000000     -0.00136986    0.00000000      0.00209365    0.00000000      0.00371462    0.00000000     -0.00048250    0.00000000     -0.00252181    0.00000000      0.00342922    0.00000000     -0.00049768    0.00000000      0.00088692    0.00000000     -0.00105661    0.00000000     -0.00018092    0.00000000      0.00063222    0.00000000      0.00039861    0.00000000     -0.00001226    0.00000000  
  840    61 atomic    1 s   0 	    -0.00005051    0.00000000     -0.00000529    0.00000000      0.00000371    0.00000000      0.00006586    0.00000000     -0.00000849    0.00000000      0.00002037    0.00000000     -0.00004796    0.00000000      0.00003890    0.00000000      0.00002793    0.00000000      0.00001596    0.00000000      0.00000797    0.00000000      0.00003377    0.00000000     -0.00001386    0.00000000      0.00004551    0.00000000     -0.00000033    0.00000000      0.00000068    0.00000000  
  841    61 atomic    2 s   0 	     0.00034286    0.00000000      0.00003588    0.00000000     -0.00002521    0.00000000     -0.00044730    0.00000000      0.00005765    0.00000000     -0.00013836    0.00000000      0.00032577    0.00000000     -0.00026425    0.00000000     -0.00018976    0.00000000     -0.00010829    0.00000000     -0.00005416    0.00000000     -0.00022950    0.00000000      0.00009416    0.00000000     -0.00030926    0.00000000      0.00000224    0.00000000     -0.00000463    0.00000000  
  842    61 atomic    3 s   0 	    -0.00120915    0.00000000     -0.00012659    0.00000000      0.00008874    0.00000000      0.00157690    0.00000000     -0.00020322    0.00000000      0.00048785    0.00000000     -0.00114801    0.00000000      0.00093130    0.00000000      0.00066846    0.00000000      0.00038162    0.00000000      0.00018998    0.00000000      0.00080403    0.00000000     -0.00033011    0.00000000      0.00108373    0.00000000     -0.00000836    0.00000000      0.00001600    0.00000000  
  843    61 atomic    4 s   0 	     0.00380336    0.00000000      0.00039852    0.00000000     -0.00028023    0.00000000     -0.00497843    0.00000000      0.00064323    0.00000000     -0.00153914    0.00000000      0.00362330    0.00000000     -0.00294517    0.00000000     -0.00211250    0.00000000     -0.00119190    0.00000000     -0.00059253    0.00000000     -0.00250925    0.00000000      0.00102854    0.00000000     -0.00338150    0.00000000      0.00003188    0.00000000     -0.00004802    0.00000000  
  844    61 atomic    5 s   0 	    -0.01362121    0.00000000     -0.00143139    0.00000000      0.00101352    0.00000000      0.01805473    0.00000000     -0.00235843    0.00000000      0.00557178    0.00000000     -0.01310936    0.00000000      0.01073017    0.00000000      0.00766978    0.00000000      0.00405101    0.00000000      0.00199222    0.00000000      0.00843316    0.00000000     -0.00344056    0.00000000      0.01134314    0.00000000     -0.00018036    0.00000000      0.00012754    0.00000000  
  845    61 ionic     6 s   0 	    -0.11176945    0.00000000     -0.01134272    0.00000000      0.01003636    0.00000000      0.15866251    0.00000000     -0.02153701    0.00000000      0.04743214    0.00000000     -0.11905275    0.00000000      0.09905334    0.00000000      0.07285886    0.00000000      0.03519816    0.00000000      0.02334104    0.00000000      0.10732840    0.00000000     -0.04119097    0.00000000      0.14277621    0.00000000      0.00022600    0.00000000      0.00311319    0.00000000  
  846    61 atomic    6 s   0 	    -0.01286983    0.00000000     -0.00120437    0.00000000      0.00115097    0.00000000      0.01764502    0.00000000     -0.00248826    0.00000000      0.00490729    0.00000000     -0.01389468    0.00000000      0.01178980    0.00000000      0.00899425    0.00000000      0.00492618    0.00000000      0.00295618    0.00000000      0.01451839    0.00000000     -0.00540693    0.00000000      0.01938343    0.00000000      0.00034684    0.00000000      0.00056824    0.00000000  
  847    61 atomic    2 p  -1 	     0.00000075    0.00000000     -0.00001195    0.00000000      0.00003391    0.00000000     -0.00000013    0.00000000     -0.00001025    0.00000000     -0.00000039    0.00000000      0.00001027    0.00000000      0.00000947    0.00000000     -0.00000307    0.00000000     -0.00000019    0.00000000      0.00000698    0.00000000      0.00000362    0.00000000      0.00001161    0.00000000     -0.00000084    0.00000000      0.00000091    0.00000000     -0.00000146    0.00000000  
  848    61 atomic    2 p   0 	    -0.00000014    0.00000000      0.00000001    0.00000000     -0.00000002    0.00000000      0.00000008    0.00000000     -0.00000003    0.00000000      0.00000007    0.00000000     -0.00000017    0.00000000      0.00000032    0.00000000      0.00000035    0.00000000     -0.00000005    0.00000000     -0.00000000    0.00000000      0.00000052    0.00000000     -0.00000008    0.00000000      0.00000019    0.00000000     -0.00000009    0.00000000     -0.00000005    0.00000000  
  849    61 atomic    2 p   1 	     0.00000008    0.00000000     -0.00000035    0.00000000      0.00001764    0.00000000     -0.00000000    0.00000000      0.00001537    0.00000000      0.00000229    0.00000000     -0.00001478    0.00000000     -0.00002263    0.00000000      0.00000904    0.00000000     -0.00000005    0.00000000      0.00002897    0.00000000     -0.00000459    0.00000000     -0.00001785    0.00000000     -0.00000636    0.00000000      0.00000216    0.00000000     -0.00000015    0.00000000  
  850    61 atomic    3 p  -1 	    -0.00000740    0.00000000      0.00011784    0.00000000     -0.00033483    0.00000000      0.00000133    0.00000000      0.00010118    0.00000000      0.00000384    0.00000000     -0.00010148    0.00000000     -0.00009348    0.00000000      0.00003032    0.00000000      0.00000177    0.00000000     -0.00006895    0.00000000     -0.00003571    0.00000000     -0.00011459    0.00000000      0.00000830    0.00000000     -0.00000897    0.00000000      0.00001450    0.00000000  
  851    61 atomic    3 p   0 	     0.00000135    0.00000000     -0.00000011    0.00000000      0.00000015    0.00000000     -0.00000074    0.00000000      0.00000027    0.00000000     -0.00000065    0.00000000      0.00000161    0.00000000     -0.00000314    0.00000000     -0.00000334    0.00000000      0.00000058    0.00000000      0.00000003    0.00000000     -0.00000506    0.00000000      0.00000071    0.00000000     -0.00000182    0.00000000      0.00000110    0.00000000      0.00000054    0.00000000  
  852    61 atomic    3 p   1 	    -0.00000075    0.00000000      0.00000341    0.00000000     -0.00017428    0.00000000      0.00000003    0.00000000     -0.00015178    0.00000000     -0.00002262    0.00000000      0.00014597    0.00000000      0.00022359    0.00000000     -0.00008929    0.00000000      0.00000066    0.00000000     -0.00028600    0.00000000      0.00004535    0.00000000      0.00017626    0.00000000      0.00006288    0.00000000     -0.00002121    0.00000000      0.00000144    0.00000000  
  853    61 atomic    4 p  -1 	     0.00005918    0.00000000     -0.00094402    0.00000000      0.00268098    0.00000000     -0.00001074    0.00000000     -0.00080974    0.00000000     -0.00003131    0.00000000      0.00081028    0.00000000      0.00074690    0.00000000     -0.00024109    0.00000000     -0.00001114    0.00000000      0.00054729    0.00000000      0.00028327    0.00000000      0.00090963    0.00000000     -0.00006528    0.00000000      0.00007612    0.00000000     -0.00011239    0.00000000  
  854    61 atomic    4 p   0 	    -0.00000994    0.00000000      0.00000010    0.00000000     -0.00000066    0.00000000      0.00000645    0.00000000     -0.00000312    0.00000000      0.00000677    0.00000000     -0.00001109    0.00000000      0.00002579    0.00000000      0.00002527    0.00000000     -0.00001527    0.00000000     -0.00000036    0.00000000      0.00004211    0.00000000     -0.00000506    0.00000000      0.00001323    0.00000000     -0.00001266    0.00000000     -0.00000703    0.00000000  
  855    61 atomic    4 p   1 	     0.00000636    0.00000000     -0.00002842    0.00000000      0.00139405    0.00000000     -0.00000074    0.00000000      0.00121217    0.00000000      0.00018051    0.00000000     -0.00116461    0.00000000     -0.00178558    0.00000000      0.00071245    0.00000000     -0.00000771    0.00000000      0.00227048    0.00000000     -0.00035937    0.00000000     -0.00139778    0.00000000     -0.00049879    0.00000000      0.00016382    0.00000000     -0.00001434    0.00000000  
  856    61 atomic    5 p  -1 	    -0.00067556    0.00000000      0.01076343    0.00000000     -0.03040235    0.00000000      0.00012146    0.00000000      0.00916883    0.00000000      0.00036638    0.00000000     -0.00910999    0.00000000     -0.00841506    0.00000000      0.00267578    0.00000000      0.00007869    0.00000000     -0.00588401    0.00000000     -0.00305032    0.00000000     -0.00978522    0.00000000      0.00068497    0.00000000     -0.00093207    0.00000000      0.00108127    0.00000000  
  857    61 atomic    5 p   0 	     0.00008425    0.00000000      0.00000979    0.00000000      0.00000037    0.00000000     -0.00008039    0.00000000      0.00005225    0.00000000     -0.00011876    0.00000000      0.00008377    0.00000000     -0.00027380    0.00000000     -0.00024331    0.00000000      0.00049168    0.00000000      0.00001106    0.00000000     -0.00049782    0.00000000      0.00004541    0.00000000     -0.00008346    0.00000000      0.00016907    0.00000000      0.00012646    0.00000000  
  858    61 atomic    5 p   1 	    -0.00007586    0.00000000      0.00035960    0.00000000     -0.01571795    0.00000000      0.00002983    0.00000000     -0.01359318    0.00000000     -0.00200866    0.00000000      0.01301531    0.00000000      0.02002903    0.00000000     -0.00797842    0.00000000      0.00009310    0.00000000     -0.02439704    0.00000000      0.00384201    0.00000000      0.01495697    0.00000000      0.00534150    0.00000000     -0.00158516    0.00000000      0.00023825    0.00000000  
  859    61 ionic     6 p  -1 	    -0.00204104    0.00000000      0.03096480    0.00000000     -0.08243780    0.00000000      0.00023346    0.00000000      0.02466976    0.00000000      0.00109678    0.00000000     -0.02413364    0.00000000     -0.02277968    0.00000000      0.00684826    0.00000000      0.00006620    0.00000000     -0.01660795    0.00000000     -0.00883688    0.00000000     -0.02788360    0.00000000      0.00172772    0.00000000     -0.00355838    0.00000000      0.00212267    0.00000000  
  860    61 ionic     6 p   0 	     0.00081859    0.00000000      0.00015258    0.00000000     -0.00016534    0.00000000     -0.00131014    0.00000000      0.00029616    0.00000000     -0.00110886    0.00000000      0.00091595    0.00000000     -0.00143369    0.00000000     -0.00127096    0.00000000      0.00252198    0.00000000     -0.00000968    0.00000000     -0.00312866    0.00000000      0.00040465    0.00000000     -0.00091745    0.00000000     -0.00003514    0.00000000      0.00063933    0.00000000  
